,Player,Mat,Inns,Runs,Ave,SR,100,50
125,PV Simmons (WI),143,138,3675,28.93,67.96,5,18
126,NV Knight (ENG),100,100,3637,40.41,71.52,5,25
127,LD Chandimal (SL),146,132,3599,32.42,74.12,4,22
128,L Klusener (SA),171,137,3576,41.1,89.91,2,19
129,SM Pollock (Afr/ICC/SA),303,205,3519,26.45,86.69,1,14
130,MA Taylor (AUS),113,110,3514,32.23,59.46,1,28
131,DB Vengsarkar (INDIA),129,120,3508,34.73,67.73,1,23
132,KJ O'Brien (IRE),142,130,3490,30.88,88.98,2,18
133,Mohammad Ashraful (Asia/BDESH),177,169,3468,22.23,70.1,3,20
134,SO Tikolo (Afr/KENYA),135,130,3428,29.05,75.77,3,24
135,HH Dippenaar (Afr/SA),107,95,3421,42.23,67.78,4,26
136,A Flintoff (ENG/ICC),141,122,3394,32.01,88.82,3,18
137,T Taibu (Afr/ZIM),150,137,3393,29.25,67.58,2,22
138,JJ Roy (ENG),84,81,3381,42.79,107.4,9,18
139,KC Wessels (AUS/SA),109,105,3367,34.35,55.3,1,26
140,Babar Azam (PAK),74,72,3359,54.17,87.08,11,15
141,AC Parore (NZ),179,161,3314,25.68,68.09,1,14
142,Moin Khan (PAK),219,183,3266,23,81.3,0,12
143,Kamran Akmal (PAK),157,138,3236,26.09,83.94,5,10
144,AN Cook (ENG),92,92,3204,36.4,77.13,5,19
145,HDRL Thirimanne (SL),127,106,3194,34.71,72.27,4,21
146,Umar Akmal (PAK),121,110,3194,34.34,86.04,2,20
147,DI Gower (ENG),114,111,3170,30.77,75.15,7,12
148,KR Rutherford (NZ),121,115,3143,29.65,64.3,2,18
149,BJ Haddin (AUS),126,115,3122,31.53,84.24,2,16
150,RJ Shastri (INDIA),150,128,3108,29.04,61.07,4,18
151,SM Gavaskar (INDIA),108,102,3092,35.13,62.26,1,27
152,DS Lehmann (AUS),117,101,3078,38.96,81.34,4,17
153,DA Miller (SA),126,110,3058,38.7,100.13,5,12
154,GJ Bailey (AUS),90,85,3044,40.58,83.51,3,22
155,SD Hope (WI),72,67,3007,52.75,74.32,8,15
156,V Sibanda (Afr/ZIM),127,126,2994,24.54,63.48,2,21
157,DJ Bravo (WI),164,141,2968,25.36,82.3,2,10
158,AM Rahane (INDIA),90,87,2962,35.26,78.63,3,24
159,HH Streak (Afr/ZIM),189,159,2943,28.29,73.42,0,13
160,WW Hinds (WI),119,111,2880,28.51,65.55,5,14
161,GJ Maxwell (AUS),110,100,2877,32.32,123.37,1,19
162,JM Bairstow (ENG),74,68,2861,47.68,104.07,9,11
163,DM Bravo (WI),110,105,2839,30.85,70.18,3,18
164,IJL Trott (ENG),68,65,2819,51.25,77.06,4,22
165,AL Logie (WI),158,133,2809,28.95,73.9,1,14
166,AH Jones (NZ),87,87,2784,35.69,57.86,0,25
167,Mohammad Nabi (AFG),124,112,2782,27.82,85.54,1,15
168,SE Marsh (AUS),73,72,2773,40.77,81.41,7,15
169,M Kaif (INDIA),125,110,2753,32.01,72.03,2,17
170,SV Carlisle (ZIM),111,107,2740,27.67,63.35,3,9
171,MDKJ Perera (SL),98,93,2739,31.12,93,5,14
172,Mohammad Shahzad (AFG),84,84,2727,33.66,88.48,6,14
173,Salman Butt (PAK),78,78,2725,36.82,76.28,8,14
174,RG Twose (NZ),87,81,2717,38.81,75.4,1,20
175,GJ Whittall (ZIM),147,142,2705,22.54,67.43,0,11
176,RS Bopara (ENG),120,109,2695,30.62,77.84,1,14
177,BA Stokes (ENG),95,81,2682,40.63,93.94,3,20
178,Sikandar Raza (ZIM),97,93,2656,34.05,81.74,3,14
179,Mudassar Nazar (PAK),122,115,2653,25.26,51.71,0,16
180,EC Joyce (ENG/IRE),78,77,2622,38,72.23,6,15
181,Ahmed Shehzad (PAK),81,81,2605,32.56,72.08,6,14
182,NJ O'Brien (IRE),103,101,2581,28.05,70.94,1,18
183,Zaheer Abbas (PAK),62,60,2572,47.62,84.8,7,13
184,CR Ervine (ZIM),93,90,2571,32.54,75.48,3,15
185,AC Hudson (SA),89,88,2559,29.41,64.62,2,18
186,TWM Latham (NZ),95,88,2550,32.27,82.36,4,15
187,VG Kambli (INDIA),104,97,2477,32.59,71.94,2,14
188,Imrul Kayes (BDESH),78,78,2434,32.02,71.1,4,16
189,JDP Oram (NZ),160,116,2434,24.09,86.61,1,13
190,TM Odoyo (Afr/KENYA),136,119,2420,23.49,70.38,1,8
191,AD Hales (ENG),70,67,2419,37.79,95.72,6,14
192,RA Smith (ENG),71,70,2419,39.01,69.65,4,15
193,L Vincent (NZ),102,99,2413,27.11,69.88,3,11
194,KJ Coetzer (SCOT),59,57,2409,43.8,86.18,4,17
195,KA Pollard (WI),107,99,2398,26.06,94.14,3,10
196,CJ Chibhabha (ZIM),103,103,2389,23.65,63.13,0,16
197,GP Thorpe (ENG),82,77,2380,37.18,71.17,0,21
198,Rahmat Shah (AFG),73,69,2359,35.2,70.08,4,16
199,Asghar Afghan (AFG),111,105,2356,24.54,66.72,1,12
200,VVS Laxman (INDIA),86,83,2338,30.76,71.23,6,10
201,RR Singh (INDIA),136,113,2336,25.95,74.3,1,9
202,N Hussain (ENG),88,87,2332,30.28,66.99,1,16
203,GS Chappell (AUS),74,72,2331,40.18,75.7,3,14
204,Sarfaraz Ahmed (PAK),116,90,2302,33.85,87.79,2,11
205,SL Campbell (WI),90,87,2283,26.24,59.25,2,14
206,DL Vettori (ICC/NZ),295,187,2253,17.33,82.98,0,4
207,S Matsikenyeri (ZIM),113,110,2224,22.01,72.39,0,13
208,GM Wood (AUS),83,77,2219,33.62,59.57,3,11
209,NLTC Perera (SL),161,128,2210,19.73,111.67,1,10
210,MJ Greatbatch (NZ),84,83,2206,28.28,71.18,2,13
211,JC Adams (WI),127,105,2204,28.62,60.98,0,14
212,Shahriar Nafees (BDESH),75,75,2201,31.44,69.49,4,13
213,D Ramdin (WI),139,110,2200,25,80.35,2,8
214,RA Jadeja (INDIA),159,106,2188,31.25,86.04,0,11
215,CS MacLeod (SCOT),66,64,2175,37.5,82.92,8,8
216,Habibul Bashar (BDESH),111,105,2168,21.68,60.45,0,14
217,IT Botham (ENG),116,106,2113,23.21,79.1,0,9
218,MW Gatting (ENG),92,88,2095,29.5,70.58,1,9
219,NH Fairbrother (ENG),75,71,2092,39.47,72.06,1,16
220,RL Powell (WI),109,100,2085,24.82,96.66,1,8
221,CL White (AUS),91,77,2072,33.96,80.12,2,11
222,GC Wilson (IRE),105,99,2072,23.81,71.94,1,12
223,CO Obuya (KENYA),104,89,2044,25.55,68.56,0,11
224,Yasir Hameed (PAK),56,56,2028,36.87,66.95,3,12
225,WPUJC Vaas (Asia/SL),322,220,2025,13.68,72.42,0,1
226,KO Otieno (KENYA),90,87,2016,23.44,56.61,2,12
227,SV Manjrekar (INDIA),74,70,1994,33.23,64.3,1,15
228,MP Vaughan (ENG),86,83,1982,27.15,68.39,0,16
229,CH Lloyd (WI),87,69,1977,39.54,81.22,1,11
230,GD Elliott (NZ),83,69,1976,34.06,81.78,2,11
231,BKG Mendis (SL),73,71,1973,29.01,83.35,1,16
232,KJ Hughes (AUS),97,88,1968,24,67.42,0,17
233,A Bagai (CAN),62,60,1964,37.76,65.57,2,16
234,Fakhar Zaman (PAK),46,46,1958,46.61,95.23,4,13
235,LMP Simmons (WI),68,65,1958,31.58,73.05,2,16
236,Aftab Ahmed (BDESH),85,85,1954,24.73,83.04,0,14
237,PJL Dujon (WI),169,120,1945,23.15,67.51,0,6
238,M Amarnath (INDIA),85,75,1924,30.53,57.7,2,13
239,KLT Arthurton (WI),105,93,1904,26.08,67.46,0,9
240,Imran Nazir (PAK),79,79,1895,24.61,81.01,2,9
241,RD Berrington (SCOT),78,73,1882,28.08,74.24,1,13
242,Mohsin Khan (PAK),75,75,1877,26.81,55.64,2,8
243,JV Coney (NZ),88,80,1874,30.72,64.95,0,8
244,DJG Sammy (WI),126,105,1871,24.94,100.05,0,9
245,RD Jacobs (WI),147,112,1865,23.31,70.06,0,9
246,M Prabhakar (INDIA),130,98,1858,24.12,60.26,2,11
247,Azhar Ali (PAK),53,53,1845,36.9,74.45,3,12
248,OA Shah (ENG),71,66,1834,30.56,78.67,1,12
249,MW Goodwin (ZIM),71,70,1818,27.13,68.5,2,8
250,Khaled Mashud (BDESH),126,110,1818,21.9,54.84,0,7
251,BA Edgar (NZ),64,64,1814,30.74,49.22,1,10
252,A Balbirnie (IRE),64,61,1813,31.8,75.13,5,8
253,Samiullah Shinwari (AFG),84,74,1811,29.2,65.49,0,11
254,JO Holder (WI),112,89,1798,25.68,94.28,0,9
255,DJ Hussey (AUS),69,61,1796,32.65,90.7,1,14
256,MA Atherton (ENG),54,54,1791,35.11,58.64,2,12
257,Mashrafe Mortaza (Asia/BDESH),217,156,1786,13.84,87.67,0,1
258,MS Wade (AUS),94,80,1777,25.75,82.11,1,10
259,MM Ali (ENG),101,82,1766,25.59,104.06,3,5
260,IA Healy (AUS),168,120,1764,21,83.84,0,4
261,KD Karthik (INDIA),94,79,1752,30.2,73.24,0,9
262,Sir RJ Hadlee (NZ),115,98,1751,21.61,75.5,0,4
263,Soumya Sarkar (BDESH),55,54,1728,33.88,98.57,2,11
264,Imam-ul-Haq (PAK),37,37,1723,53.84,80.47,7,6
265,Imran Farhat (PAK),58,58,1719,30.69,69.06,1,13
266,CB Wishart (ZIM),90,82,1719,23.22,70.56,2,5
267,Rashid Latif (PAK),166,117,1709,19.42,76.39,0,3
268,DA Gunawardene (SL),61,61,1708,28.46,71.49,1,12
269,AT Rayudu (INDIA),55,50,1694,47.05,79.04,3,10
270,ND McKenzie (SA),64,55,1688,37.51,69.4,2,10
271,NC Johnson (ZIM),48,48,1679,36.5,70.28,4,11
272,BA Young (NZ),74,73,1668,24.52,61.03,0,9
273,UDU Chandana (SL),147,111,1627,17.3,72.99,0,5
274,CK Kapugedera (SL),102,84,1624,21.09,72.04,0,8
275,Haris Sohail (PAK),41,40,1614,46.11,85.17,2,13
276,GM Turner (NZ),41,40,1598,47,68.05,3,9
277,LPC Silva (SL),75,62,1587,28.85,70.4,1,13
278,Najibullah Zadran (AFG),67,62,1586,29.92,89.85,1,11
279,SC Williams (WI),57,55,1586,32.36,66.02,1,12
280,Saleem Elahi (PAK),48,47,1579,36.72,71.31,4,9
281,RL Dias (SL),58,55,1573,31.46,67.94,2,11
282,N Dickwella (SL),52,49,1571,32.72,93.56,2,9
283,DR Smith (WI),105,89,1560,18.57,92.69,0,8
284,UT Khawaja (AUS),40,39,1554,42,84.09,2,12
285,IK Pathan (INDIA),120,87,1544,23.39,79.54,0,5
286,RN ten Doeschate (NL),33,32,1541,67,87.7,5,9
287,DL Houghton (ZIM),63,60,1530,26.37,70.99,1,12
288,LRD Mendis (SL),79,74,1527,23.49,75.07,0,7
289,Azhar Mahmood (PAK),143,110,1521,18.1,76.5,0,3
290,RS Morton (WI),56,51,1519,33.75,66.36,2,10
291,JJ Crowe (NZ),75,71,1518,25.72,61.8,0,7
292,JM Kemp (Afr/SA),85,66,1512,31.5,83.12,1,10
293,RD Shah (KENYA),56,55,1506,27.88,65.53,1,12
294,MA Ouma (KENYA),80,77,1501,20.84,59.44,0,7
295,HJH Marshall (NZ),66,62,1454,27.43,73.06,1,12
296,DD Ebrahim (ZIM),82,76,1443,20.61,56.81,1,4
297,MR Marsh (AUS),53,49,1428,35.7,93.08,1,11
298,Nasir Jamshed (PAK),48,48,1418,31.51,75.38,3,8
299,SO Hetmyer (WI),43,40,1416,38.27,107.02,5,4
300,HA Gomes (WI),83,64,1415,28.87,54.88,1,6
301,N Boje (Afr/SA),115,71,1414,26.67,88.7,2,4
302,MO Odumbe (KENYA),61,59,1409,26.09,69.96,0,11
303,P Utseya (ZIM),164,132,1406,16.73,58.34,0,4
304,E Lewis (WI),48,45,1402,32.6,82.27,2,7
305,L Ronchi (AUS/NZ),85,68,1397,23.67,114.5,1,4
306,GP Howarth (NZ),70,65,1384,23.06,60.14,0,6
307,JD Ryder (NZ),48,42,1362,33.21,95.31,3,6
308,BC Broad (ENG),34,34,1361,40.02,55.61,1,11
309,DO Obuya (KENYA),74,73,1355,19.35,63.46,0,6
310,KM Jadhav (INDIA),71,50,1354,42.31,102.18,2,6
311,Asad Shafiq (PAK),60,58,1336,24.74,67.5,0,9
312,PG Fulton (NZ),49,46,1334,32.53,72.77,1,8
313,Sabbir Rahman (BDESH),66,59,1333,25.63,91.23,1,6
314,KMDN Kulasekara (SL),184,123,1327,15.43,81.46,0,4
315,JR Hopes (AUS),84,61,1326,25.01,93.71,0,3
316,SM Katich (AUS),45,42,1324,35.78,68.74,1,9
317,Javed Omar (BDESH),59,59,1312,23.85,51.89,0,10
318,Raqibul Hasan (BDESH),55,54,1308,27.82,61.32,0,8
319,AA Obanda (KENYA),49,45,1306,30.37,74.03,0,9
320,MS Sinclair (NZ),54,50,1304,28.34,62.51,2,8
321,PN Kirsten (SA),40,40,1293,38.02,56.02,0,9
322,J Charles (WI),48,48,1283,26.72,83.8,2,4
323,MJ Prior (ENG),68,62,1282,24.18,76.76,0,3
324,Nasir Hossain (BDESH),65,52,1281,29.11,79.81,1,6
325,TM Head (AUS),42,39,1273,34.4,90.02,1,10
326,NR Mongia (INDIA),140,96,1272,20.19,68.9,0,2
327,C Munro (NZ),57,53,1271,24.92,104.69,0,8
328,JEC Franklin (NZ),110,80,1270,23.96,76.92,0,4
329,AB Agarkar (INDIA),191,113,1269,14.58,80.62,0,3
330,Shoaib Mohammad (PAK),63,58,1269,24.4,50.92,1,8
331,Basit Ali (PAK),50,43,1265,34.18,75.79,1,9
332,MN Waller (ZIM),79,72,1259,19.07,76.81,0,5
333,MD Gunathilaka (SL),38,37,1249,34.69,85.9,2,8
334,JDS Neesham (NZ),59,50,1247,31.17,98.96,0,6
335,SP O'Donnell (AUS),87,64,1242,25.34,80.96,0,9
336,RR Rossouw (SA),36,35,1239,38.71,94.36,3,7
337,Harbhajan Singh (Asia/INDIA),236,128,1237,13.3,81.06,0,0
338,SG Law (AUS),54,51,1237,26.89,75.28,1,7
339,Alok Kapali (BDESH),69,66,1235,19.6,67.96,1,5
340,GM Hamilton (SCOT),38,38,1231,35.17,66.64,2,7
341,D Mongia (INDIA),57,51,1230,27.95,71.47,1,4
342,RW Marsh (AUS),92,76,1225,20.08,82.26,0,4
343,HDPK Dharmasena (SL),141,87,1222,22.62,65.03,0,4
344,Shaiman Anwar (UAE),40,40,1219,31.25,82.53,1,11
345,Noor Ali Zadran (AFG),51,50,1216,24.81,63.23,1,7
346,TM Moody (AUS),76,64,1211,23.28,69.31,0,10
347,Junaid Siddique (BDESH),54,53,1196,23,68.22,1,6
348,Mohammad Rafique (Asia/BDESH),125,106,1191,13.38,71.61,0,2
349,CR Woakes (ENG),99,68,1186,24.7,90.12,0,4
350,B Lee (AUS),221,110,1176,17.81,83.58,0,3
351,JA Rudolph (Afr/SA),45,39,1174,35.57,68.05,0,7
352,Nawroz Mangal (AFG),49,48,1139,27.11,75.33,2,4
353,MH Cross (SCOT),52,48,1136,24.17,73.95,2,5
354,T Mishra (KENYA),42,40,1128,34.18,73.53,0,8
355,HM Nicholls (NZ),45,43,1120,33.93,82.41,1,9
356,PL Mommsen (SCOT),44,42,1115,30.97,69.04,2,6
357,MF Maharoof (SL),109,75,1113,19.52,86.01,0,2
358,CJ Anderson (NZ),49,45,1109,27.72,108.72,1,4
359,HS Modi (KENYA),63,56,1109,23.59,58.18,0,5
360,ES Szwarczynski (NL),41,40,1102,29.78,68.23,0,10
361,VS Solanki (ENG),51,46,1097,26.75,72.93,2,5
362,B Zuiderent (NL),57,56,1097,23.84,58.56,0,8
363,PA Strang (ZIM),95,73,1090,22.24,66.02,0,0
364,G Boycott (ENG),36,34,1082,36.06,53.56,1,9
365,F Behardien (SA),59,49,1074,30.68,97.9,0,6
366,NL McCullum (NZ),84,62,1070,20.98,87.7,0,4
367,Asif Mujtaba (PAK),66,55,1068,26.04,63.91,1,6
368,DW Randall (ENG),49,45,1067,26.67,62.69,0,5
369,Hashmatullah Shahidi (AFG),39,39,1062,32.18,63.7,0,9
370,DS Smith (WI),47,45,1059,24.62,70.31,1,5
371,JK Kamande (KENYA),86,72,1055,17.29,62.61,0,3
372,IDS Smith (NZ),98,77,1055,17.29,99.43,0,3
