,Player,Mat,Inns,Runs,Ave,SR,100,50
858,IP Butchart (ZIM),20,16,252,18,63.79,0,1
859,NM Coulter-Nile (AUS),32,21,252,16.8,96.18,0,1
860,J Edness (BMUDA),11,11,252,28,62.53,0,1
861,JFM Morrison (NZ),18,15,252,21,53.38,0,1
862,HA Varaiya (KENYA),63,38,252,12,51.53,0,0
863,H Klaasen (SA),14,13,251,22.81,86.25,0,1
864,JJ Atkinson (HKG),9,9,250,27.77,62.81,0,1
865,JAH Marshall (NZ),10,10,250,25,79.87,1,1
866,CT Radley (ENG),4,4,250,83.33,68.11,1,1
867,AR Caddick (ENG),54,38,249,12.45,63.03,0,0
868,GF Labrooy (SL),44,36,249,8.58,71.14,0,0
869,JD Campbell (WI),6,5,248,49.6,115.88,1,0
870,JM Parker (NZ),24,20,248,12.4,61.53,0,1
871,RB Reid (NZ),9,9,248,27.55,55.35,0,2
872,RH Vance (NZ),8,8,248,31,51.55,0,1
873,MA Suji (KENYA),64,52,247,8.23,46.95,0,0
874,A Turner (AUS),6,6,247,41.16,79.93,1,0
875,K Doriga (PNG),14,13,246,22.36,63.4,0,1
876,AD Mascarenhas (ENG),20,13,245,22.27,95.33,0,1
877,SM Davies (ENG),8,8,244,30.5,105.62,0,1
878,JP Kotze (NAM),5,5,244,48.8,91.38,1,0
879,RAS Lakmal (SL),85,48,244,9.38,60.39,0,0
880,Qaiser Ali (CAN),17,17,244,15.25,63.7,0,2
881,RP Burl (ZIM),18,15,243,20.25,68.06,0,1
882,BP Patel (INDIA),10,9,243,30.37,60.9,0,1
883,PR Downton (ENG),28,20,242,16.13,67.59,0,0
884,Hasan Raza (PAK),16,13,242,18.61,50.41,0,1
885,MJ Di Venuto (AUS),9,9,241,26.77,85.76,0,2
886,GD Drummond (SCOT),30,20,240,18.46,91.6,0,0
887,DK Lillee (AUS),63,34,240,9.23,75,0,0
888,CM Wright (SCOT),20,18,240,16,68.37,0,0
889,Amjad Javed (UAE),15,13,239,19.91,89.51,0,1
890,CRD Fernando (Asia/SL),147,61,239,9.19,60.96,0,0
891,J Garner (WI),98,41,239,9.19,66.38,0,0
892,T Panyangara (ZIM),65,49,239,6.63,51.61,0,0
893,KJ Arnott (ZIM),13,12,238,23.8,48.47,0,3
894,DC Thomas (WI),21,19,238,14,65.38,0,0
895,NS Poonia (SCOT),21,21,237,11.28,62.86,0,1
896,Enamul Haque (BDESH),29,26,236,11.23,49.26,0,0
897,GJ Hopkins (NZ),25,17,236,14.75,75.88,0,0
898,LM Jongwe (ZIM),22,19,236,14.75,77.88,0,0
899,Khurram Manzoor (PAK),7,7,236,33.71,62.93,0,3
900,GR Codrington (CAN),17,15,235,19.58,63.17,0,0
901,JP Crawley (ENG),13,12,235,21.36,57.59,0,2
902,P Khadka (NEPAL),6,6,235,39.16,82.16,1,1
903,PJ Cummins (AUS),58,35,234,10.17,71.34,0,0
904,Iftikhar Anjum (PAK),62,34,234,15.6,61.9,0,0
905,Ikram Alikhil (AFG),12,12,234,26,60.62,0,2
906,P Mustard (ENG),10,10,233,23.3,92.46,0,1
907,AME Roberts (WI),56,32,231,10.04,64.7,0,0
908,STR Binny (INDIA),14,11,230,28.75,93.49,0,1
909,TM Chappell (AUS),20,13,229,17.61,62.73,1,0
910,SHU Karnain (SL),19,17,229,19.08,59.32,0,0
911,TM Dowlin (WI),11,11,228,25.33,65.51,1,1
912,DR Flynn (NZ),20,17,228,15.2,63.33,0,0
913,AY Karim (KENYA),34,24,228,12.66,60.8,0,1
914,SR Thompson (IRE),20,15,228,16.28,90.83,0,0
915,M Dillon (WI),108,51,227,7.32,55.23,0,0
916,AMJ Hilditch (AUS),8,8,226,28.25,47.47,0,1
917,Raza-ur-Rehman (CAN),6,5,225,45,85.87,0,3
918,BP Julian (AUS),25,17,224,13.17,89.6,0,0
919,KR Stackpole (AUS),6,6,224,37.33,57.88,0,3
920,JH Edrich (ENG),7,6,223,37.16,68.61,0,2
921,V Shankar (INDIA),12,8,223,31.85,90.65,0,0
922,KM Jarvis (ZIM),49,33,222,9.65,65.87,0,0
923,Aqib Ilyas (OMAN),5,5,221,44.2,78.36,0,2
924,BKV Prasad (INDIA),161,63,221,6.9,60.21,0,0
925,Sarfraz Nawaz (PAK),45,31,221,9.6,64.05,0,0
926,Wasim Bari (PAK),51,26,221,17,51.27,0,0
927,HS Baidwan (CAN),32,22,220,14.66,64.89,0,0
928,DR Lockhart (SCOT),14,11,218,24.22,63.92,0,0
929,Y Venugopal Rao (INDIA),16,11,218,24.22,60.05,0,1
930,NR Kumar (CAN),16,15,217,15.5,54.65,0,0
931,FA Rose (WI),27,23,217,12.05,81.88,0,0
932,EO Simons (SA),23,18,217,15.5,73.55,0,0
933,V Dahiya (INDIA),19,15,216,16.61,80.89,0,1
934,WK Lees (NZ),31,24,215,11.31,70.03,0,0
935,NO Perry (WI),21,16,212,26.5,62.35,0,1
936,FRJ Coleman (SCOT),16,14,211,15.07,61.33,0,1
937,MJ Henry (NZ),52,21,211,15.07,100,0,0
938,KS Lokuarachchi (SL),21,18,210,14,80.15,0,1
939,CPH Ramanayake (SL),62,35,210,10,56.14,0,0
940,Tahir Naqqash (PAK),40,23,210,15,86.77,0,1
941,Mushtaq Mohammad (PAK),10,9,209,34.83,59.2,0,1
942,MHW Papps (NZ),6,6,207,51.75,60.52,0,2
943,DL Bairstow (ENG),21,20,206,14.71,52.82,0,0
944,AR Berenger (UAE),10,10,205,20.5,67.43,0,2
945,PE McEwan (NZ),17,15,204,13.6,58.95,0,0
946,JA Rennie (ZIM),44,27,201,13.4,51.4,0,0
947,APE Knott (ENG),20,14,200,20,80.97,0,1
948,NW Bracken (AUS),116,35,199,11.7,70.56,0,0
949,AJ Burger (NAM),6,6,199,33.16,100.5,0,1
950,Mohammad Nawaz (3) (PAK),15,12,199,22.11,93.42,0,1
951,Moin-ul-Atiq (PAK),5,5,199,39.8,71.32,1,0
952,M Ntini (ICC/SA),173,47,199,8.65,66.77,0,0
953,Ijaz Faqih (PAK),27,19,197,12.31,56.12,0,0
954,GA Lamb (ZIM),15,14,197,17.9,51.7,0,0
955,MR Swart (NL),12,11,197,19.7,72.42,0,1
956,T Maruma (ZIM),21,18,196,11.52,59.39,0,0
957,AP Devcich (NZ),12,11,195,17.72,77.07,0,1
958,GSNFG Jayasuriya (SL),12,10,195,21.66,71.42,0,1
959,ASA Perera (SL),20,13,195,17.72,75.87,0,1
960,Akram Raza (PAK),49,25,193,17.54,62.25,0,0
961,PJ Ingram (NZ),8,7,193,27.57,81.09,0,1
962,C Pringle (NZ),64,41,193,8.77,75.39,0,0
963,V Rathour (INDIA),7,7,193,27.57,58.3,0,2
964,Simi Singh (IRE),15,14,193,14.84,58.13,0,0
965,MM Iqbal (SCOT),13,12,192,24,53.33,0,1
966,CJ Smith (BMUDA),12,12,192,16,78.36,0,1
967,Abid Ali (PAK),4,4,191,47.75,97.44,1,1
968,DAG Fletcher (ZIM),6,6,191,47.75,66.08,0,2
969,TN Madondo (ZIM),13,13,191,15.91,57.7,0,1
970,Mohammad Boota (UAE),9,9,191,23.87,75.79,0,1
971,Shabir Noori (AFG),10,10,191,19.1,63.66,0,1
972,CJ McKay (AUS),59,31,190,9.04,56.37,0,0
973,Mohammad Shahzad (UAE),6,6,190,31.66,84.44,0,2
974,Usman Limbada (CAN),11,11,189,18.9,66.54,0,1
975,BAW Mendis (SL),87,42,188,8.17,71.48,0,0
976,TJ Murtagh (IRE),58,36,188,7.83,63.08,0,0
977,T Mupariwa (ZIM),40,32,185,8.4,56.92,0,0
978,SW Poynter (IRE),21,19,185,13.21,66.54,0,0
979,EAE Baptiste (WI),43,16,184,15.33,76.34,0,0
980,JL Ontong (Afr/SA),28,16,184,13.14,68.91,0,0
981,Saadat Ali (PAK),8,7,184,30.66,53.95,0,1
982,Sohag Gazi (BDESH),20,16,184,15.33,86.38,0,0
983,SI de Saram (SL),15,13,183,16.63,67.77,0,0
984,SJ Benn (WI),47,30,182,7.91,75.83,0,0
985,SR Taylor (USA),9,9,182,20.22,68.67,0,1
986,AR Patel (INDIA),38,20,181,12.92,95.26,0,0
987,JR Thomson (AUS),50,30,181,7.54,64.64,0,0
988,SB Bangar (INDIA),15,15,180,13.84,75.31,0,1
989,DG Cork (ENG),32,21,180,10,66.42,0,0
990,WF Stelling (NL),15,11,180,30,66.17,0,0
991,B Warnapura (SL),12,12,180,15,43.37,0,1
992,Mazhar Hussain (UAE),7,7,179,25.57,53.59,0,1
993,DM Richards (WI),8,7,179,25.57,71.31,0,2
994,TK Curran (ENG),17,11,178,44.5,107.22,0,0
995,SC Khanna (INDIA),10,10,176,22,66.41,0,2
996,TC Bastiampillai (CAN),13,13,175,13.46,58.13,0,0
997,BR Blair (NZ),14,14,174,14.5,68.77,0,0
998,GC Dyer (AUS),23,13,174,15.81,76.65,0,0
